Altura (m),Idade,Sexo,Velocidade média (m/s),Cadência,Comprimento médio passada,Erro absoluto médio do comprimento de passo em metros,Desvio padrão comprimento passo medido em metros,Desvio padrão do erro de comprimento de passo em metros,Largura da passada,Erro largura da passada,Desvio padrão largura da passada,Comprimento médio de meio passo em metros,Erro absoluto médio do meio comprimento de passo em metros,Desvio padrão do comprimento médio de meio passo em metros,Desvio padrão do erro de comprimento de meio passo em metros,Comprimento do Swing em metros,Erro absoluto médio do swing em metros,Desvio padrão do swing em metros,Desvio padrão do erro de swing em metros,Comprimento do Stance em metros,Erro absoluto médio do stance em metros,Desvio padrão do stance em metros,Desvio padrão do erro de stance em metros,Distância inicial do pé em metros,Erro absoluto médio da distância entre os pés em metros,Desvio padrão da distância inicial entre os pés,Desvio padrão do erro da distância inicial entre os pés em metros,Ângulo médio de abertura das pernas durante a caminhada (°),Desvio padrão do ângulo médio dos passos em graus,Número de amostras do ângulo,Ângulo médio da coxa do joelho esquerdo,Desvio padrão do ângulo  médio da coxa do joelho esquerdo,Ângulo médio de flexão do joelho esquerdo,Desvio padrão do ângulo de flexão do joelho esquerdo,Ângulo médio de flexão do joelho direito,Desvio padrão do ângulo de flexão do joelho direito,Ângulo extensão do quadril (°),Desvio padrão do ângulo de extensão do quadril (°),Simetria do comprimento de passo,Desvio padrão da simetria do comprimento de passo,Movimento
1.7650,20.00,0,1.2911,27.0546,1.1060,0.1378,0.1378, 0.11,0.1664,0.0086,0.1049,0.5406,0.0956,0.1556,0.1233, 0.6154,0.1854,0.1713,0.1713,0.6487,0.1887,0.1966 ,0.1948,0.1750, 0.0875,14.1523,14.3170,291,-6.031409178416441,68.11541810355155,25.581210408780745,26.931621945729614,25.154707480564035,25.81308686815757,-13.686169815835282,32.195858768329686,0.8876108401931779,0.3224372333756595,0,,
1.7650,20.00,0,1.3562,28.2939,1.1035,0.1328,0.1328, 0.11,0.1637,0.0113,0.1025,0.5373,0.0923,0.1505,0.1211, 0.6030,0.1730,0.1710,0.1710,0.6422,0.1822,0.1909 ,0.1892,0.1750, 0.0875,14.6789,14.4195,312,-4.261505173150274,68.23209065154109,24.92242652039752,26.525218507938046,24.65207761844953,25.512626098493495,-13.299938394916401,31.278877495138147,0.8802619840953015,0.3108319012203284,0,,
1.7650,20.00,0,1.3795,28.3369,1.1122,0.1200,0.1200, 0.10,0.1607,0.0143,0.0985,0.5398,0.0948,0.1453,0.1169, 0.5988,0.1688,0.1660,0.1660,0.6395,0.1795,0.1847 ,0.1831,0.1750, 0.0875,14.2912,14.2920,352,-5.012272511049625,67.15264170991169,23.636594766445278,25.84246762325829,23.774590136739153,24.667549479680762,-9.963128714633882,31.11598770117429,0.881453929346484,0.2995559444655256,0,,
1.7650,20.00,0,1.4148,28.6974,1.1098,0.1181,0.1181, 0.10,0.1579,0.0171,0.0971,0.5452,0.1002,0.1416,0.1133, 0.5997,0.1697,0.1607,0.1607,0.6384,0.1784,0.1789 ,0.1773,0.1750, 0.0875,14.9059,14.6044,372,-3.3936772533752264,67.25422951499208,22.948118459652786,25.352161740020655,24.11904485658255,24.448822237310594,-8.875624615290754,30.863997400963495,0.8884126702518311,0.2905674620293069,0,,
1.7650,20.00,0,1.4250,29.8278,1.1105,0.1173,0.1173, 0.10,0.1561,0.0189,0.0964,0.5447,0.0997,0.1372,0.1102, 0.5976,0.1676,0.1562,0.1562,0.6310,0.1710,0.1761 ,0.1747,0.1750, 0.0875,15.0543,14.6146,383,-2.510372908064789,67.42613999654134,23.198522944405486,25.19555035476209,23.625029420958352,24.174965118273878,-8.485907888653355,30.549505083043776,0.9016697840073938,0.28598754403415383,0,,
1.7650,20.00,0,0.3039,6.0120,0.5000,0.5000,0.5000, 0.39,0.3097,-0.1347,0.1051,0.5189,0.0739,0.4091,0.1884, 0.8523,0.4223,0.2089,0.2089,1.0000,0.5400,0.0000 ,0.0000,0.1750, 0.0875,1.4495,5.5502,63,-48.45223666688399,57.831132459141436,62.75416542693118,33.25396122521985,65.35033121659048,27.155559947115634,-53.87537752220376,41.09868127518512,0.2783918874000903,0.2783918874000903,0,,
1.7650,20.00,0,0.4605,16.7117,0.7670,0.4437,0.4437, 0.33,0.3033,-0.1283,0.1040,0.5219,0.0769,0.3171,0.2036, 0.7746,0.3446,0.2255,0.2255,0.8778,0.4178,0.2116 ,0.2116,0.1750, 0.0875,3.3312,8.8108,68,-40.63011614233632,62.58310411750671,59.35080025762227,32.711437878939506,58.86382252672722,30.100547379279792,-52.63748403829205,39.83161790205875,0.5386398212877231,0.4325806315964148,0,,
1.7650,20.00,0,0.7441,21.1644,0.9865,0.2647,0.2647, 0.18,0.2548,-0.0798,0.1280,0.5302,0.0852,0.2693,0.1864, 0.7387,0.3087,0.2141,0.2141,0.8035,0.3435,0.2407 ,0.2407,0.1750, 0.0875,6.3486,11.3267,90,-30.308810641897686,64.91395470095443,45.01685614733108,34.79798076270387,46.74920075891521,31.641430295101653,-43.10666539907303,39.00736966641867,0.6979445519391232,0.46527249408063037,0,,
1.7500,21.00,0,0.1963,2.9274,0.5000,0.5000,0.5000, 0.17,0.0575,0.1235,0.1196,0.4928,0.1568,0.4084,0.2153, 0.8261,0.4871,0.2459,0.2459,1.0000,0.6670,0.0000 ,0.0000,0.1810, 0.0905,1.3450,5.0860,135,-12.793157631189096,29.345174013443156,15.33233106401627,17.421663238607778,9.35897963111918,5.947692427532157,-4.983200570632132,11.38479631817078,0.23914236396795674,0.23914236396795674,0,,
1.7500,21.00,0,0.4893,7.3614,0.9223,0.2662,0.2662, 0.09,0.0679,0.1131,0.1134,0.4998,0.1638,0.3164,0.1950, 0.7470,0.4080,0.2532,0.2532,0.8778,0.5448,0.2117 ,0.2117,0.1810, 0.0905,4.6285,10.0715,160,-14.109841302990201,38.55107898277202,18.259994689114965,17.566273150233062,17.97934207107106,15.867672219876809,-6.001505078579922,11.695313986772666,0.49187782906055305,0.4072793604647762,0,,
